代號,簡稱,市場別,產業別,更新日
1480,東盟開發,興櫃,鋼鐵工業,2026-06-19 06:24
1503,士電,上市,電機機械,2026-06-19 06:24
1504,東元,上市,電機機械,2026-06-19 06:24
1506,正道,上市,電機機械,2026-06-19 06:24
1512,瑞利,上市,汽車工業,2026-06-19 06:24
1513,中興電,上市,電機機械,2026-06-19 06:24
1514,亞力,上市,電機機械,2026-06-19 06:24
1515,力山,上市,電機機械,2026-06-19 06:24
1516,川飛,上市,其他業,2026-06-19 06:24
1517,利奇,上市,電機機械,2026-06-19 06:24
1519,華城,上市,電機機械,2026-06-19 06:24
1521,大億,上市,汽車工業,2026-06-19 06:24
1522,堤維西,上市,汽車工業,2026-06-19 06:24
1524,耿鼎,上市,汽車工業,2026-06-19 06:24
1525,江申,上市,汽車工業,2026-06-19 06:24
1526,日馳,上市,電機機械,2026-06-19 06:24
1527,鑽全,上市,電機機械,2026-06-19 06:24
1528,恩德,上市,電機機械,2026-06-19 06:24
1529,樂事綠能,上市,電機機械,2026-06-19 06:24
1530,亞崴,上市,電機機械,2026-06-19 06:24
1531,高林股,上市,電機機械,2026-06-19 06:24
1532,勤美,上市,電機機械,2026-06-19 06:24
1533,車王電,上市,汽車工業,2026-06-19 06:24
1535,中宇,上市,電機機械,2026-06-19 06:24
1536,和大,上市,汽車工業,2026-06-19 06:24
1537,廣隆,上市,電機機械,2026-06-19 06:24
1538,正峰,上市,電機機械,2026-06-19 06:24
1539,巨庭,上市,電機機械,2026-06-19 06:24
1540,喬福,上市,電機機械,2026-06-19 06:24
1541,錩泰,上市,電機機械,2026-06-19 06:24
1558,伸興,上市,電機機械,2026-06-19 06:24
1560,中砂,上市,電機機械,2026-06-19 06:24
1563,巧新,上市,汽車工業,2026-06-19 06:24
1565,精華,上櫃,生技醫療業,2026-06-19 06:24
1568,倉佑,上市,汽車工業,2026-06-19 06:24
1569,濱川,上櫃,電腦及週邊設備業,2026-06-19 06:24
1570,力肯,上櫃,電機機械,2026-06-19 06:24
1580,新麥,上櫃,電機機械,2026-06-19 06:24
1582,信錦,上市,電子零組件業,2026-06-19 06:24
1583,程泰,上市,電機機械,2026-06-19 06:24
1584,精剛,上櫃,其他業,2026-06-19 06:24
